;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
All Denmark;407355;415906;457717;468428;482124;497387;507474;522973;531260;547997;560365;580324;607231;640846;640845;671390;688781
Copenhagen;387547;401067;436381;449524;462126;476122;490547;504723;520706;537246;556406;578854;609333;651950;647561;687830;730330
Frederiksberg;444057;458033;516203;530936;553207;574082;590010;609576;627295;652170;674034;695351;731155;788151;777133;818275;858134
Dragør;499702;496050;562374;610720;620509;640528;664958;688005;700310;723137;735623;754014;783712;827534;826655;884496;900250
Tårnby;426710;436711;472882;492010;500082;514379;528405;540156;555010;569823;588282;606785;638544;666930;670306;711519;729354
Albertslund;400007;411002;441038;441986;454185;458066;469697;479864;486936;493155;505625;514671;537623;561541;564266;587165;604389
Ballerup;425680;427427;467687;480981;494335;503365;530192;536361;540123;553956;565273;584011;612015;639389;641071;678632;689941
Brøndby;390990;393322;422408;429580;437490;445498;455549;464949;473389;483783;496851;507516;534778;554235;556276;575800;594996
Gentofte;679531;660802;813635;862112;894045;953358;999108;1150095;1099193;1123406;1132058;1234870;1233821;1421400;1409939;1636636;1523835
Gladsaxe;451075;454884;502436;519671;529968;548725;566928;581228;588791;606143;618188;638915;676792;707854;708954;753694;776671
Glostrup;421763;429430;465534;473065;477699;493277;500703;519397;522978;538305;551364;564794;594244;624272;628237;651887;673160
Herlev;429472;433766;472868;483018;492640;501601;513820;526628;539766;548079;567502;579917;627730;644521;642981;680833;718229
Hvidovre;417490;418516;457834;468835;480122;488521;504447;514391;526160;538380;555321;571565;598681;628192;634340;667202;698570
Høje-Taastrup;424868;424079;457517;465562;472897;484418;494634;503541;510831;524614;533718;546404;568067;590876;587426;609121;628845
Ishøj;393761;393433;421437;428543;435848;444486;448135;456556;462362;472709;482688;495115;521020;543660;550000;574812;591423
Lyngby-Taarbæk;547147;542735;634840;655608;674536;711347;760999;800122;790948;808040;812611;850477;895380;980136;933837;1019009;1055779
Rødovre;418444;414048;448376;462385;473901;485679;499286;514485;522351;537741;551461;563861;600715;624900;626603;658187;682062
Vallensbæk;463271;466731;512413;521113;533630;545811;568397;574156;572068;580110;591683;610445;641752;668879;661743;682106;705688
Allerød;518580;530938;597246;623645;641952;655634;676403;696411;704362;724000;737749;768717;786232;830767;827610;855016;878187
Egedal;477853;475889;529489;541966;552929;574363;584103;600925;612765;634189;652320;657500;686987;715082;708977;752415;758941
Fredensborg;495574;491200;553348;567185;583247;607437;616203;644191;646504;651580;673222;694688;718036;767830;738215;781410;816845
Frederikssund;431962;433861;468689;478686;491215;508948;522196;532203;546075;556109;572453;584564;612251;636283;633191;660923;675167
Furesø;522908;526234;602153;614986;644035;672835;689461;695522;717443;737036;757165;783088;799687;844205;833510;893433;907837
Gribskov;438955;435208;480597;485380;505997;512689;530964;538117;547829;561659;571883;584249;616584;640169;636071;664031;678162
Halsnæs;398856;397557;431041;436383;446658;460620;469522;479355;487271;503939;513050;523460;554176;572826;568739;600108;617680
Helsingør;445628;441852;491979;506980;521455;547220;560933;580542;586890;599075;618605;638142;669496;709467;692886;729366;753828
Hillerød;468324;470159;522994;532278;551970;567422;587516;601409;609326;626774;637411;656977;683526;715513;703321;738820;777528
Hørsholm;611613;595480;719729;757336;787922;835150;842192;885567;898650;945596;934234;955988;1044251;1088756;1082997;1101753;1137863
Rudersdal;650875;613130;758239;783415;835974;888258;927825;953734;1030131;1035769;1043185;1109110;1122138;1256259;1199278;1280340;1339913
Bornholm;349190;359478;393606;394862;403906;408301;415992;426961;435457;446495;453605;474834;490629;506061;501477;531230;545612
Greve;472889;460802;507359;523430;535187;551246;567019;574973;584834;602393;615919;630517;658854;685165;683439;719276;735825
Køge;425958;428927;468894;475605;486598;500420;513919;525156;530860;549179;561259;576474;609078;635413;638592;665468;700163
Lejre;448811;449774;501530;507461;518993;537988;544409;560398;576268;592724;607409;619202;643517;677199;672341;698389;717325
Roskilde;468635;465872;516965;532288;548208;561952;584466;600227;606562;623909;641264;664326;693043;728928;725035;769030;802308
Solrød;484924;464068;522614;554882;571412;579072;611530;623595;646865;653322;665498;692342;719535;757854;744443;785270;798036
Faxe;395936;403606;437506;437933;448398;462088;470794;478718;487716;500656;508831;527096;553277;576724;578747;601049;611915
Guldborgsund;361902;371270;398391;388950;406476;423604;425961;439945;443815;455005;461616;478583;506470;535661;537804;552502;562560
Holbæk;404409;415701;453408;456292;471974;483418;492628;507535;512189;526597;538159;555730;583001;611389;615592;637267;654896
Kalundborg;370732;392909;428705;428439;446060;459599;468481;487462;490977;500019;511233;527985;551294;581301;593757;620144;631410
Lolland;334594;348634;374213;378865;388398;400771;415071;414683;415471;425413;434971;450134;469215;497458;505618;527639;533987
Næstved;387373;401839;435305;445753;454792;466941;476958;486318;496622;511792;523214;542727;566368;592726;594000;610206;622223
Odsherred;361036;367110;401186;406704;417481;429229;439251;448007;452201;466249;473494;488106;510962;534238;538998;562220;567010
Ringsted;409596;416199;454304;459067;473558;485735;496611;505426;512921;531173;541469;557147;590378;617773;618070;640671;652776
Slagelse;378186;393178;422593;432370;442641;458447;461198;471301;479878;494148;504263;516041;537402;571426;576071;584014;599410
Sorø;381726;409659;438101;452108;462166;482582;492030;503679;510514;527339;535488;559233;576803;607104;608123;632595;647771
