;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
All Denmark;285562;290533;316022;322251;329803;338290;344847;353983;358674;368402;376526;388978;405297;425071;424871;444311;457099
Copenhagen;228707;234856;252384;260186;265830;273760;282912;291989;300124;308540;319353;331827;347267;368429;369458;391671;418327
Frederiksberg;271344;279396;307267;315280;324350;336491;348144;360078;368526;383120;397447;413708;434742;460176;451283;477545;501557
Dragør;384959;381218;426077;460617;466551;476984;489788;506292;514791;527458;541213;557911;576200;607968;612857;644080;658859
Tårnby;306695;311583;335211;345025;350208;359050;367508;374691;381229;391443;402042;411915;432282;448828;453360;475882;491958
Albertslund;278517;283543;301520;298052;304562;305181;312314;317678;322449;325942;334570;338471;353759;369290;371813;388164;396974
Ballerup;299119;299095;321676;330284;335785;342748;358750;365621;369497;376897;385903;395028;410039;426437;425732;445496;456764
Brøndby;278099;279695;297259;303008;305523;309223;313089;316830;322962;327340;337720;342462;356847;368636;369602;381385;395240
Gentofte;438385;439829;515824;545475;568468;588757;613152;688218;666894;677416;692532;759373;757403;864008;841766;971719;941219
Gladsaxe;300168;301966;330595;340462;346309;356244;366143;374393;378982;388074;396350;411063;434349;452678;452971;480573;496766
Glostrup;287668;291292;314644;317465;321099;329692;333962;341632;346473;355052;364050;372785;390234;406795;407100;419883;435277
Herlev;297406;301435;323652;329826;336635;345976;349196;357537;363574;369181;381459;389972;413338;424802;422231;444778;465904
Hvidovre;286568;287876;310681;316133;322178;329149;337437;343125;348765;356397;367240;378421;393728;411973;415775;434257;455828
Høje-Taastrup;303468;306417;325681;331397;335057;340184;346090;349806;354704;362927;368271;379699;391302;406586;403194;418726;434644
Ishøj;282312;280792;300234;304988;309931;313594;315860;320953;323602;328943;335156;340492;354387;368641;370665;387455;398118
Lyngby-Taarbæk;351702;347616;398445;412529;426119;444201;469091;506063;487457;493766;509658;532468;548964;591366;576034;641278;639879
