;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
All Denmark;172843;175741;187260;190809;194895;198963;203818;208404;210548;215469;221156;228197;237440;247712;249372;262108;272720
Copenhagen;161620;164346;173274;177459;179980;184170;189717;194914;198238;202436;208977;215678;224391;237444;240609;253967;270999
Frederiksberg;185612;190458;202882;207600;210347;216115;224203;230370;233262;241056;249641;260713;274286;285297;278101;295695;309901
Dragør;224748;220063;237581;255417;254571;256163;259262;267607;272244;276679;294278;307687;309159;322940;332619;334670;351186
Tårnby;187282;189140;200925;204890;208551;212681;217300;221634;223632;228953;234601;238892;249905;258607;265047;273717;290291
Albertslund;174767;175743;184331;181444;185581;186374;190562;195088;197296;201079;207623;210327;218638;229513;233538;243429;250490
Ballerup;180945;182362;191123;196879;199268;203998;211244;217546;220467;223358;230822;235266;242405;250341;253495;262852;273966
Brøndby;177658;180218;188221;193048;193150;194338;196771;196420;201542;204033;211773;214542;220126;227611;231207;239136;250559
Gentofte;241852;257790;269888;284345;297575;287790;300082;313300;315877;317541;331931;367496;365949;394865;366114;418060;457353
Gladsaxe;183555;184789;197325;201208;204257;208929;213270;216459;219437;223852;229349;237770;250461;261471;261885;277728;287605
Glostrup;182874;185321;197192;197210;200462;203112;207246;209673;213283;217321;223310;227995;237883;246105;246471;254454;268051
Herlev;180796;185763;194529;197548;202204;213234;211867;214876;216551;220702;228133;234290;242330;250325;251541;264300;273695
Hvidovre;177235;179165;188707;190255;193419;198042;201548;204385;206891;210022;216107;221919;230483;240109;244510;254822;268939
Høje-Taastrup;183384;189740;195733;198863;201665;203799;208128;210476;213687;218705;222569;229519;237006;247735;248065;259496;270710
Ishøj;176342;174912;185804;189130;192486;193718;195769;199257;201232;203162;209458;211304;219055;229031;231017;241312;248853
Lyngby-Taarbæk;207768;202533;219271;228825;238811;243765;250685;287010;262667;261683;281900;289493;287278;301412;309119;360848;332914
Rødovre;180127;182028;192305;194500;196148;201304;205360;210389;214072;216480;222335;229017;236201;247452;248087;258267;270449
Vallensbæk;201567;202407;219115;222262;229646;235449;241199;241557;241960;243632;249037;249619;267221;275928;273063;287092;290069
Allerød;217430;216221;243407;252636;252527;264258;270548;276605;285452;289632;288919;302336;306883;321657;333909;333480;352082
Egedal;210164;208250;231343;233429;241746;247640;254874;262463;258244;266136;268205;272854;285942;316260;297163;308807;319814
Fredensborg;206226;205858;222459;223014;228796;235794;250750;255740;262807;269524;271329;285893;288945;314849;299048;320392;338444
Frederikssund;188785;190288;203239;207360;211666;218461;220947;227949;229600;234181;240949;247341;258584;266377;278302;279222;277298
Furesø;218330;216250;231978;239930;246150;245346;262644;265062;268480;275459;277380;287126;304109;316880;314846;333095;340094
Gribskov;196203;192548;211327;212767;216904;221543;229758;233995;235741;240556;247257;251258;265078;276266;280010;284564;291242
Halsnæs;184527;180466;192598;194589;200149;204611;210611;216204;217898;222893;229917;236069;243254;253211;258109;264596;272269
Helsingør;188688;188746;204104;208182;214286;220034;225406;229660;232258;240850;241920;250273;263495;276688;276120;282706;295211
