Region,year,purchase_price_mean,purchase_price_median,sqm_price_mean,sqm_price_median,sqm_mean,no_rooms_mean,%_change_between_offer_and_purchase_mean,nom_interest_rate%_mean,dk_ann_infl_rate%_mean,yield_on_mortgage_credit_bonds%_mean,no_sales,income,population
Capital Region,2008,2682001.5777330445,2434331.0,22303.014,21229.1142578125,122.66073,4.255961598017962,-4.220502,4.0452538,3.4200003,6.52,6458,328484.8850574712,1138804.5
Capital Region,2009,2455394.779122116,2100000.0,19447.01,17916.666015625,126.13478,4.34679234665166,-5.6402645,1.7936972,1.3,5.5,7108,328673.4942528736,1146752.5
Capital Region,2010,2599042.3735417123,2295000.0,20469.21,19166.666015625,127.99835,4.354061193044244,-3.7416904,0.8072584,2.31,4.53,9086,364020.459770115,1155271.5
Capital Region,2011,2557963.7961381357,2195000.0,20362.146,18852.458984375,125.44597,4.2677311548458965,-4.498824,0.98944795,2.76,4.75,8079,373740.3563218391,1161875.0
Capital Region,2012,2513141.813960801,2175000.0,20137.494,18750.0,125.93533,4.271355203857038,-4.424484,0.4213133,2.4,3.6600003,9541,383552.5747126436,1168063.25
Capital Region,2013,2685808.3701275373,2345000.0,21700.457,20172.947265625,126.087746,4.260283815340399,-3.518861,0.0,0.79,3.48,11134,394818.3793103448,1174655.25
Capital Region,2014,2785699.3767595086,2395000.0,22871.777,21169.0478515625,123.1323,4.188604372566637,-2.8963761,0.0,0.56,3.06,13356,406139.4252873564,1183005.25
Capital Region,2015,2873803.001746672,2500000.0,24192.41,22891.56640625,120.66157,4.101066072396555,-2.1756911,0.0,0.45,2.78,16603,419244.7816091954,1191466.0
Capital Region,2016,3034356.2521337355,2630000.0,25899.941,24464.28515625,119.248474,4.043573124558814,-2.183469,0.0,0.25,2.55,15583,424271.7931034483,1200517.5
Capital Region,2017,3150039.272736521,2750000.0,27342.229,25789.474609375,118.22309,4.037334689725331,-1.9016277,0.0,1.15,2.26,9830,434263.4367816092,1206727.0
Capital Region,2018,3233210.9338772004,2795000.0,28418.064,26794.87109375,117.25982,4.003196412384905,-1.9983779,0.0,0.81,2.12,20961,443632.459770115,1210432.5
Capital Region,2019,3288493.7084233263,2850000.0,28937.91,27500.0,116.44814,3.9758011195839025,-2.1778991,0.0,0.76,1.35,22687,459304.6551724138,1213734.0
Capital Region,2020,3641919.9285661927,3150000.0,32159.268,30283.7021484375,115.27129,3.9387186629526463,-1.7726506,0.0,0.42,1.1,27284,478243.3448275862,1214412.25
Capital Region,2021,3946922.4191875258,3430000.0,36067.957,34131.33203125,112.696495,3.85055548119395,-1.0101392,0.0,1.85,1.47,29884,504608.7126436781,1218864.25
Capital Region,2022,3736990.8864544937,3250000.0,35946.176,34000.0,106.67987,3.6987695342920928,-2.53045,0.12142152,7.7000003,3.73,19261,499977.7586206897,1229377.0
Capital Region,2023,3738086.107499584,3205000.0,35817.836,33880.041015625,106.06942,3.68869652072582,-2.9712002,2.8523848,3.31,4.79,24028,528528.988505747,1243324.75
Capital Region,2024,3832164.69897084,3370000.0,37061.04,35081.7578125,106.07939,3.6928448909580984,-2.5794535,3.5213733,1.13,4.34,16324,544400.3908045978,1256165.75
Central Jutland,2008,1701431.9184239733,1375000.0,13664.083,11090.41748046875,136.19124,4.569034406215317,-2.3137624,4.043757,3.42,6.52,9010,284511.91228070174,1240413.75
Central Jutland,2009,1646845.874537282,1331250.0,13416.079,10841.51611328125,134.82655,4.56504494976203,-4.0575094,1.8720651,1.3,5.5,7564,291900.5789473684,1250066.25
Central Jutland,2010,1677335.5157956893,1320000.0,13618.456,10833.3330078125,139.60605,4.5635272118885934,-3.23728,0.8076961,2.31,4.53,10161,315910.5263157895,1256237.5
Central Jutland,2011,1705711.1072140762,1350000.0,14304.037,11034.482421875,134.22885,4.4848093841642225,-3.8975954,0.99395895,2.76,4.75,8525,323320.22807017545,1262853.25
Central Jutland,2012,1656090.583893382,1305000.0,13505.121,10730.3369140625,136.37021,4.57899532976421,-4.054562,0.43401867,2.4,3.66,8779,332203.4736842105,1268534.75
Central Jutland,2013,1672359.2340726245,1350000.0,13756.782,10747.6630859375,135.74745,4.536964557512503,-3.986845,0.0,0.79,3.48,9198,341752.70175438595,1273964.25
Central Jutland,2014,1712127.1415372894,1350000.0,13614.902,10909.0908203125,136.97162,4.559481855414801,-3.9823792,0.0,0.56,3.06,10499,345041.8070175438,1279523.75
Central Jutland,2015,1840514.1130664656,1460000.0,14895.435,11972.7578125,135.64056,4.521525679758308,-3.1736405,0.0,0.45,2.78,13240,354335.9298245614,1286487.25
Central Jutland,2016,1862196.2863759168,1500000.0,15203.158,11942.6748046875,135.68599,4.514087225009649,-3.188653,0.0,0.25,2.55,12955,359506.94736842107,1297382.0
Central Jutland,2017,1912757.608164234,1545000.0,15874.834,12517.0068359375,133.47739,4.467900795063486,-2.8066928,0.0,1.15,2.26,8427,370356.9824561404,1307923.25
Central Jutland,2018,1981795.9792696023,1600000.0,16233.665,12761.9326171875,134.51418,4.4889366272824915,-2.632116,0.0,0.81,2.12,18620,377948.2807017544,1316358.0
Central Jutland,2019,2031353.09796037,1620000.0,16688.545,13396.2265625,132.65778,4.453417954556465,-2.6476915,0.0,0.76,1.35,20641,391455.596491228,1323129.5
Central Jutland,2020,2115916.53546514,1725000.0,17644.05,14285.7138671875,130.33755,4.3962256542602525,-2.4331627,0.0,0.42000002,1.1,24799,411184.4561403509,1327957.5
Central Jutland,2021,2301597.911445634,1875000.0,18981.135,15397.3505859375,131.92339,4.407894271882399,-1.7790381,0.0,1.85,1.47,28299,427748.2982456141,1335175.75
Central Jutland,2022,2313920.2884083223,1850000.0,19005.934,15408.03369140625,130.56929,4.412831813057292,-2.6921184,0.122412115,7.7,3.73,19514,429287.649122807,1349179.75
Central Jutland,2023,2297669.07815555,1830000.0,18959.727,15527.9501953125,129.06984,4.382305018466218,-3.3058875,2.794775,3.31,4.79,18412,440271.36842105264,1361139.75
Central Jutland,2024,2316449.755515668,1885000.0,19228.37,16011.904296875,127.914444,4.3800014957744375,-3.4384115,3.5216212,1.13,4.34,13371,450363.03508771927,1368131.75
North Jutland,2008,1476228.9299426083,1100000.0,12472.563,9166.6669921875,133.97527,4.4646744508212945,-2.3768058,4.048931,3.4199998,6.5199995,5053,265500.5151515152,541073.5
North Jutland,2009,1365354.8424623115,1050000.0,11379.96,9016.3935546875,131.86307,4.414321608040201,-3.9914572,1.882588,1.3,5.5,3980,273581.36363636365,541605.25
North Jutland,2010,1359683.3173511496,1045000.0,11769.386,8750.0,133.14876,4.438593043820004,-3.669876,0.8057575,2.31,4.53,5089,295504.9393939394,541398.25
North Jutland,2011,1490134.1582264726,1075000.0,13510.78,9027.77734375,130.47272,4.379700065203217,-4.059552,0.9945664,2.76,4.75,4601,305154.8787878788,542186.25
North Jutland,2012,1412813.2199872965,1045000.0,11685.781,8750.0,133.63223,4.518102900698708,-4.55325,0.44955537,2.4,3.6599998,4723,313841.8181818182,542210.0
North Jutland,2013,1410170.628525705,1060000.0,12301.553,9336.734375,130.81917,4.407081416283257,-4.2334466,0.0,0.79,3.48,4999,321735.87878787884,542654.25
North Jutland,2014,1378569.683052793,1050000.0,11295.43,8826.32177734375,134.17827,4.477811782708493,-4.432479,0.0,0.56,3.06,5228,324815.63636363635,544025.25
North Jutland,2015,1585263.774078478,1150000.0,13357.441,9615.384765625,131.62099,4.391646848989298,-3.8336802,0.0,0.45,2.78,6728,330094.57575757575,546026.5
North Jutland,2016,1520893.990292712,1195000.0,12948.103,10000.0,132.05571,4.412186379928316,-3.7419355,0.0,0.25,2.5499997,6696,335999.51515151514,548913.25
North Jutland,2017,1647330.9958668198,1250000.0,14009.111,10398.23046875,130.14076,4.342365097588978,-3.2064295,0.0,1.15,2.26,4355,346584.24242424243,550543.5
North Jutland,2018,1577408.9332972972,1250000.0,13464.802,10432.623046875,130.07773,4.339675675675676,-3.3787026,0.0,0.81,2.12,9250,352099.63636363635,551970.5
North Jutland,2019,1670887.995187005,1280000.0,14206.715,10937.5,129.8097,4.330993682943949,-3.3589692,0.0,0.76,1.35,9973,365701.2424242424,552913.75
North Jutland,2020,1721050.7807526526,1336750.0,14905.763,11977.07275390625,125.57452,4.2947612732095495,-3.2816644,0.0,0.42,1.1,12064,381149.0606060606,553433.25
North Jutland,2021,1813346.419368631,1450000.0,15416.372,12804.8779296875,128.20808,4.327656238865531,-2.6164753,0.0,1.85,1.47,14033,399551.4545454546,554365.5
North Jutland,2022,1850236.8701051576,1445000.0,15462.36,12575.7578125,129.14893,4.346820230345518,-3.1230845,0.120886326,7.7,3.73,9985,402515.0303030303,556819.75
North Jutland,2023,1828651.3776106937,1410000.0,15070.256,12500.0,129.45175,4.404239766081871,-3.6296992,2.7930973,3.31,4.79,9576,413170.2727272727,557947.5
North Jutland,2024,1845874.393546569,1440000.0,15094.337,12713.4150390625,128.29477,4.364802029026349,-3.803579,3.519332,1.13,4.34,7097,423701.8181818182,557045.25
Southern Denmark,2008,1669939.9561229807,1300000.0,13786.172,10544.5546875,135.65065,4.524752475247524,-2.1370506,4.046144,3.4200003,6.52,9595,277561.42424242425,1196640.5
Southern Denmark,2009,1629568.995177268,1280000.0,13498.42,10169.97265625,135.91084,4.550182481751825,-3.7823253,1.9010166,1.3,5.5,7672,283948.393939394,1199941.5
Southern Denmark,2010,1563643.8014922235,1200000.0,12672.788,9808.42626953125,138.76555,4.550651534258091,-3.3708491,0.8052228,2.31,4.53,9516,307543.30303030304,1200565.5
Southern Denmark,2011,1582358.5414028252,1232250.0,13383.426,10000.0,134.9625,4.479663906478325,-4.0179005,0.9924196,2.76,4.75,8212,311927.8333333333,1200985.5
Southern Denmark,2012,1548021.8069242586,1200000.0,12746.567,9557.5224609375,137.22675,4.560794044665013,-4.5870256,0.43781757,2.4,3.66,8463,319834.0,1201476.0
Southern Denmark,2013,1574839.7044892188,1200000.0,13244.369,9810.126953125,135.64334,4.506185931424532,-4.4906325,0.0,0.79,3.48,8487,327109.07575757575,1201546.75
Southern Denmark,2014,1587745.1994099095,1225000.0,13275.849,9926.470703125,135.95168,4.5261979855529555,-4.2971816,0.0,0.56,3.06,9829,332673.36363636365,1203680.5
Southern Denmark,2015,1597608.4324056488,1250000.0,13064.154,10133.689453125,137.1251,4.538855396812289,-3.790982,0.0,0.45,2.78,12109,339048.8181818182,1207867.25
Southern Denmark,2016,1616202.9493554328,1280000.0,13409.276,10382.78369140625,136.55626,4.540599363803784,-3.6043026,0.0,0.25,2.55,11946,343081.6666666667,1214314.25
Southern Denmark,2017,1653198.569004525,1320000.0,13612.3,10860.43505859375,135.27325,4.4869281045751634,-3.129462,0.0,1.15,2.26,7956,354374.5,1218551.25
Southern Denmark,2018,1730621.414910582,1375000.0,14099.352,11000.0,137.02802,4.53092607358469,-2.9232259,0.0,0.81,2.12,17558,361189.7272727273,1221855.0
Southern Denmark,2019,1780450.857559502,1400000.0,14475.431,11506.41015625,135.66637,4.485860111452529,-2.7541275,0.0,0.76,1.35,19201,373257.78787878784,1223701.5
Southern Denmark,2020,1846788.4556438937,1495000.0,15270.918,12386.36328125,133.28249,4.455688811031757,-2.6969411,0.0,0.42,1.1,22263,389060.2727272727,1223203.5
Southern Denmark,2021,1993078.2412710425,1610000.0,16306.687,13260.869140625,135.30475,4.496311707962928,-2.0424438,0.0,1.85,1.47,26435,406256.6060606061,1224891.75
Southern Denmark,2022,1996835.7683497912,1595000.0,15873.51,13043.478515625,134.74646,4.497149546981574,-2.656266,0.12311157,7.7000003,3.73,19646,409465.803030303,1232725.25
Southern Denmark,2023,1964139.7018718033,1575000.0,15811.667,13184.4658203125,133.29318,4.50701926216128,-3.195723,2.784231,3.31,4.79,18378,440022.15151515155,1238052.75
Southern Denmark,2024,2019374.5903802495,1650000.0,16421.111,13783.109375,131.53526,4.46899829738933,-3.354143,3.5238256,1.13,4.34,14096,439748.6060606061,1239138.5
Zealand Region,2008,1688477.9318623124,1400000.0,14538.799,12631.5791015625,124.10291,4.27819947043248,-3.014828,4.0474844,3.42,6.52,5665,293375.2549019608,820258.75
Zealand Region,2009,1514277.8332306428,1220000.0,13102.308,11055.5556640625,124.75005,4.28013965906757,-5.2043543,1.8195523,1.3,5.5,4869,297172.17647058825,820969.5
Zealand Region,2010,1495201.310695812,1195000.0,13038.749,10661.7646484375,126.92324,4.308526614383448,-4.2532954,0.8063157,2.31,4.53,5993,322435.7254901961,820416.0
Zealand Region,2011,1465464.5889195583,1100000.0,12403.588,9943.44970703125,126.97674,4.32551261829653,-5.01183,0.98703665,2.76,4.75,5072,327398.7254901961,819094.25
Zealand Region,2012,1391813.7847010235,1050000.0,12101.95,9545.4541015625,125.241875,4.291793858861555,-5.0763154,0.4329772,2.4,3.66,5569,336240.8431372549,817418.5
Zealand Region,2013,1394193.475978037,1075000.0,11863.347,9491.36083984375,127.13229,4.32035003431709,-4.9802675,0.0,0.79,3.48,5828,345173.6274509804,816440.0
Zealand Region,2014,1469392.1712507238,1100000.0,12760.135,9863.16552734375,125.098434,4.282426172553561,-4.6346264,0.0,0.56,3.0600002,6908,352787.64705882355,818068.25
Zealand Region,2015,1506645.01405646,1175000.0,12420.242,10333.3330078125,127.760925,4.364765139978915,-4.1575494,0.0,0.45,2.78,8537,359787.5294117647,822984.5
Zealand Region,2016,1621642.68770078,1250000.0,13417.8545,10810.810546875,128.5249,4.32859109683341,-3.5348785,0.0,0.25,2.55,8716,364436.4117647059,829636.5
Zealand Region,2017,1639425.4836420286,1295000.0,13843.455,11237.3740234375,127.144196,4.357625064912584,-3.122382,0.0,1.15,2.26,5777,373845.3333333334,833498.25
Zealand Region,2018,1708677.9449728795,1350000.0,14381.65,11864.0,126.07546,4.317820926027828,-2.9624243,0.0,0.81,2.12,12721,382378.96078431373,835801.0
Zealand Region,2019,1771616.086173495,1395000.0,14841.137,12234.04296875,125.521774,4.297840281265696,-2.865179,0.0,0.76,1.3500001,13937,394327.17647058825,836964.25
Zealand Region,2020,1823485.157333639,1450000.0,15783.636,13333.3330078125,121.782196,4.225826789705967,-2.4589329,0.0,0.42,1.1,17447,411127.8039215687,837636.75
Zealand Region,2021,2067815.336565308,1655000.0,17442.95,14784.9462890625,125.793846,4.2757500380729985,-1.5106858,0.0,1.8500001,1.47,19699,429899.6274509804,840704.75
Zealand Region,2022,2057488.127227981,1650000.0,17686.943,14925.373046875,123.07279,4.219777761205161,-2.8203444,0.118957415,7.7,3.73,13409,431623.3529411765,846588.75
Zealand Region,2023,2011126.5092777407,1600000.0,17421.045,14830.5087890625,121.57618,4.225844607082132,-3.4847343,2.8340096,3.3100002,4.79,13527,447318.4705882353,850802.25
Zealand Region,2024,2080556.9170774135,1650000.0,17995.002,15509.2587890625,121.788246,4.225765922489611,-3.4336522,3.5123417,1.13,4.34,10347,458730.3921568628,853605.25
