Municipality,Region,year,purchase_price_mean,purchase_price_median,sqm_price_mean,sqm_price_median,sqm_mean,no_rooms_mean,%_change_between_offer_and_purchase_mean,nom_interest_rate%_mean,dk_ann_infl_rate%_mean,yield_on_mortgage_credit_bonds%_mean,no_sales,income,population,affordability,sales_per_1000,urban_rural
Aabenraa,Southern Denmark,2008,1631118.1734475377,1065000.0,12842.465,8209.458984375,142.54176,4.691648822269808,-1.7087795,4.0460386,3.42,6.52,467,276912.6666666667,60316.75,21.562267576097476,7.742459598701853,Urban
Aabenraa,Southern Denmark,2009,1535254.2615803815,1025000.0,11637.358,8295.4541015625,147.15804,4.762942779291553,-2.7792916,1.9166213,1.3,5.5,367,278411.0,60237.0,23.92390094040245,6.092600893138769,Urban
Aabenraa,Southern Denmark,2010,1577195.2304832714,1140000.0,12633.355,8218.09033203125,143.67287,4.609665427509293,-3.0464685,0.79507434,2.31,4.53,538,301608.0,59946.0,23.87394322410793,8.974743936209254,Urban
Aabenraa,Southern Denmark,2011,1499740.2342342343,1000000.0,11417.911,7557.47119140625,142.91891,4.621621621621622,-3.0750751,1.0022522,2.76,4.75,333,305809.0,59750.0,26.78327060002482,5.573221757322176,Urban
Aabenraa,Southern Denmark,2012,1564109.955,1070119.5,12550.895,7907.049072265625,142.8175,4.585,-3.7375,0.420625,2.4,3.66,400,312566.6666666667,59457.25,24.903934473730093,6.72752271590092,Urban
Aabenraa,Southern Denmark,2013,1347075.65625,950000.0,9022.465,7321.046875,153.02841,4.965909090909091,-3.3551137,0.0,0.79,3.4799998,352,318038.3333333333,59133.25,35.24960566024178,5.95265776868344,Urban
Aabenraa,Southern Denmark,2014,1417560.4432773108,1022500.0,12683.502,8025.849853515625,136.5042,4.418067226890757,-3.997899,0.0,0.56,3.06,476,321844.6666666667,58977.5,25.37506334344148,8.07087448603281,Urban
Aabenraa,Southern Denmark,2015,1577201.065026362,1195000.0,14967.917,8445.9462890625,135.82953,4.390158172231986,-3.1230228,0.0,0.45,2.78,569,328991.0,58928.5,21.97974507742126,9.655769279720339,Urban
Aabenraa,Southern Denmark,2016,1438760.9739478957,1000000.0,10875.705,7352.94140625,145.16032,4.645290581162325,-4.6332664,0.0,0.25,2.55,499,334492.6666666667,58996.25,30.755952525989503,8.458164713858931,Urban
Aabenraa,Southern Denmark,2017,1319015.6549707602,1000000.0,9952.185,7608.13037109375,144.49707,4.777777777777778,-3.5701754,0.0,1.15,2.26,342,347693.6666666667,59095.75,34.93641513563772,5.787218200970459,Urban
Aabenraa,Southern Denmark,2018,1313294.5984962406,997100.0,8952.325,7692.3076171875,150.06015,4.747368421052632,-3.42406,0.0,0.81000006,2.12,665,353434.0,59034.5,39.47957653458738,11.2645995138436,Urban
Aabenraa,Southern Denmark,2019,1640611.5018226,1100000.0,12724.378,8333.3330078125,145.71446,4.612393681652491,-2.8590522,0.0,0.76,1.35,823,364652.6666666667,58946.5,28.657798964056763,13.961812830278303,Urban
Aabenraa,Southern Denmark,2020,1640808.679644049,1150000.0,12649.563,8682.634765625,145.2614,4.710789766407119,-2.9477196,0.0,0.42,1.1,899,380209.0,58676.25,30.057085766520157,15.321360857246331,Urban
Aabenraa,Southern Denmark,2021,1743755.3900928793,1300000.0,13835.186,9576.10400390625,146.8034,4.640866873065016,-1.7631578,0.0,1.8499999,1.47,1292,396367.3333333333,58556.5,28.649223316067694,22.064160255479752,Urban
Aabenraa,Southern Denmark,2022,1744293.467,1270000.0,12817.186,9257.00537109375,145.225,4.719,-1.739,0.12674999,7.7,3.73,1000,403169.3333333333,58883.0,31.45537041698024,16.98283035850755,Urban
Aabenraa,Southern Denmark,2023,1554250.931567329,1210000.0,12173.119,9310.33935546875,141.95143,4.598233995584989,-2.5960264,2.7174945,3.31,4.7899995,906,412758.6666666667,58842.25,33.90738779984544,15.397099872965429,Urban
Aabenraa,Southern Denmark,2024,1675482.997067449,1227500.0,12994.941,8976.9814453125,140.08798,4.645161290322581,-2.9105573,3.5189881,1.13,4.34,682,428860.3333333333,58637.5,33.00209930413176,11.630782349179281,Urban
Aalborg,North Jutland,2008,1871558.5293398532,1630000.0,17335.986,13458.3330078125,124.96455,4.0440097799511,-2.3141809,4.055012,3.42,6.52,818,270192.3333333333,195369.0,15.585634029315282,4.186948799451295,Urban
Aalborg,North Jutland,2009,1742606.3275462964,1395000.0,15117.046,11925.17724609375,123.29977,4.0625,-3.3472223,1.8693286,1.3,5.5,864,278390.0,196461.0,18.415634906449316,4.397819414540291,Urban
Aalborg,North Jutland,2010,1814340.8076525335,1530000.0,16245.837,12413.79296875,129.50362,4.232678386763185,-3.2388833,0.8084281,2.31,4.53,967,299736.6666666667,197786.25,18.45005995484669,4.889116407232556,Urban
Aalborg,North Jutland,2011,2119014.3165983604,1779000.0,21525.156,13586.240234375,119.31148,3.9334016393442623,-3.039959,1.0002562,2.76,4.75,976,304459.0,199725.0,14.144334192049527,4.886719238953561,Urban
Aalborg,North Jutland,2012,1800259.8901209678,1545000.0,15829.468,12391.271484375,129.91533,4.258064516129032,-3.717742,0.4405242,2.4,3.66,992,310591.0,201589.75,19.621063702204015,4.920885114446543,Urban
Aalborg,North Jutland,2013,1921716.8780718336,1595000.0,17222.643,13531.62353515625,124.234406,4.085066162570889,-3.426276,0.0,0.79,3.48,1058,316597.6666666667,203983.0,18.38264119314711,5.186706735365202,Urban
Aalborg,North Jutland,2014,1908816.4453333332,1600000.0,16632.545,13950.0,125.69867,4.139555555555556,-3.3457778,0.0,0.56,3.06,1125,321230.6666666667,206243.25,19.31338028345432,5.454723972784564,Urban
Aalborg,North Jutland,2015,2222815.189106487,1795000.0,19897.25,15833.3330078125,123.23011,4.038555691554468,-2.379437,0.0,0.45,2.78,1634,328066.3333333333,208336.0,16.488023889398452,7.843099608325013,Urban
Aalborg,North Jutland,2016,2084297.0729585008,1750000.0,18300.568,16500.0,123.19143,4.030120481927711,-2.1526105,0.0,0.25,2.55,1494,332254.3333333333,210779.0,18.155410986879385,7.087992636837636,Urban
Aalborg,North Jutland,2017,2226393.538910506,1830000.0,19929.895,17949.2353515625,119.518486,3.928988326848249,-1.7052529,0.0,1.15,2.26,1028,343468.6666666667,212241.0,17.233842258911384,4.843550492129231,Urban
