Municipality,year,population,Region
Aabenraa,2008,60316.75,Southern Denmark
Aabenraa,2009,60237.0,Southern Denmark
Aabenraa,2010,59946.0,Southern Denmark
Aabenraa,2011,59750.0,Southern Denmark
Aabenraa,2012,59457.25,Southern Denmark
Aabenraa,2013,59133.25,Southern Denmark
Aabenraa,2014,58977.5,Southern Denmark
Aabenraa,2015,58928.5,Southern Denmark
Aabenraa,2016,58996.25,Southern Denmark
Aabenraa,2017,59095.75,Southern Denmark
Aabenraa,2018,59034.5,Southern Denmark
Aabenraa,2019,58946.5,Southern Denmark
Aabenraa,2020,58676.25,Southern Denmark
Aabenraa,2021,58556.5,Southern Denmark
Aabenraa,2022,58883.0,Southern Denmark
Aabenraa,2023,58842.25,Southern Denmark
Aabenraa,2024,58637.5,Southern Denmark
Aalborg,2008,195369.0,North Jutland
Aalborg,2009,196461.0,North Jutland
Aalborg,2010,197786.25,North Jutland
Aalborg,2011,199725.0,North Jutland
Aalborg,2012,201589.75,North Jutland
Aalborg,2013,203983.0,North Jutland
Aalborg,2014,206243.25,North Jutland
Aalborg,2015,208336.0,North Jutland
Aalborg,2016,210779.0,North Jutland
Aalborg,2017,212241.0,North Jutland
Aalborg,2018,213798.0,North Jutland
Aalborg,2019,215851.75,North Jutland
Aalborg,2020,217691.0,North Jutland
Aalborg,2021,219912.5,North Jutland
Aalborg,2022,221616.25,North Jutland
Aalborg,2023,222671.5,North Jutland
Aalborg,2024,223473.25,North Jutland
Aarhus,2008,299457.25,Central Jutland
Aarhus,2009,303985.75,Central Jutland
Aarhus,2010,307805.25,Central Jutland
Aarhus,2011,311784.0,Central Jutland
Aarhus,2012,315845.5,Central Jutland
Aarhus,2013,320541.25,Central Jutland
Aarhus,2014,324594.0,Central Jutland
Aarhus,2015,327601.25,Central Jutland
Aarhus,2016,332301.0,Central Jutland
Aarhus,2017,337210.25,Central Jutland
Aarhus,2018,342261.25,Central Jutland
Aarhus,2019,346622.25,Central Jutland
Aarhus,2020,350704.25,Central Jutland
Aarhus,2021,353218.0,Central Jutland
Aarhus,2022,357203.75,Central Jutland
Aarhus,2023,363305.0,Central Jutland
Aarhus,2024,368974.25,Central Jutland
Albertslund,2008,27644.75,Capital Region
Albertslund,2009,27784.75,Capital Region
Albertslund,2010,27737.25,Capital Region
Albertslund,2011,27774.5,Capital Region
Albertslund,2012,27865.75,Capital Region
Albertslund,2013,27782.25,Capital Region
Albertslund,2014,27754.5,Capital Region
Albertslund,2015,27732.75,Capital Region
Albertslund,2016,27852.75,Capital Region
Albertslund,2017,27857.25,Capital Region
Albertslund,2018,27768.0,Capital Region
Albertslund,2019,27768.0,Capital Region
Albertslund,2020,27605.25,Capital Region
Albertslund,2021,27270.5,Capital Region
Albertslund,2022,27567.5,Capital Region
Albertslund,2023,27554.5,Capital Region
Albertslund,2024,27704.5,Capital Region
Allerød,2008,23608.25,Capital Region
Allerød,2009,23921.75,Capital Region
Allerød,2010,24120.75,Capital Region
Allerød,2011,24077.5,Capital Region
Allerød,2012,24067.25,Capital Region
Allerød,2013,24079.5,Capital Region
Allerød,2014,24229.75,Capital Region
Allerød,2015,24513.5,Capital Region
Allerød,2016,24823.5,Capital Region
Allerød,2017,25093.75,Capital Region
Allerød,2018,25377.25,Capital Region
Allerød,2019,25686.25,Capital Region
Allerød,2020,25693.5,Capital Region
Allerød,2021,25895.5,Capital Region
Allerød,2022,25947.5,Capital Region
Allerød,2023,26009.5,Capital Region
Allerød,2024,25990.5,Capital Region
Assens,2008,42167.0,Southern Denmark
Assens,2009,42101.5,Southern Denmark
Assens,2010,41884.25,Southern Denmark
Assens,2011,41579.75,Southern Denmark
Assens,2012,41394.25,Southern Denmark
Assens,2013,41180.75,Southern Denmark
Assens,2014,41033.5,Southern Denmark
Assens,2015,41135.25,Southern Denmark
Assens,2016,41349.0,Southern Denmark
Assens,2017,41406.75,Southern Denmark
Assens,2018,41382.25,Southern Denmark
Assens,2019,41128.0,Southern Denmark
Assens,2020,40894.75,Southern Denmark
Assens,2021,40861.5,Southern Denmark
Assens,2022,40969.25,Southern Denmark
Assens,2023,40847.75,Southern Denmark
Assens,2024,40585.75,Southern Denmark
Ballerup,2008,47265.25,Capital Region
Ballerup,2009,47512.5,Capital Region
Ballerup,2010,47721.5,Capital Region
Ballerup,2011,47987.75,Capital Region
Ballerup,2012,48139.0,Capital Region
Ballerup,2013,48357.0,Capital Region
Ballerup,2014,48477.0,Capital Region
Ballerup,2015,48297.0,Capital Region
Ballerup,2016,48245.5,Capital Region
Ballerup,2017,48219.75,Capital Region
Ballerup,2018,48347.75,Capital Region
Ballerup,2019,48448.75,Capital Region
Ballerup,2020,48821.5,Capital Region
Ballerup,2021,49196.25,Capital Region
Ballerup,2022,49543.25,Capital Region
Ballerup,2023,50366.5,Capital Region
Ballerup,2024,51869.0,Capital Region
Billund,2008,26228.25,Southern Denmark
Billund,2009,26262.25,Southern Denmark
Billund,2010,26178.25,Southern Denmark
Billund,2011,26219.0,Southern Denmark
Billund,2012,26309.0,Southern Denmark
Billund,2013,26351.25,Southern Denmark
Billund,2014,26334.75,Southern Denmark
Billund,2015,26334.75,Southern Denmark
Billund,2016,26508.0,Southern Denmark
Billund,2017,26500.25,Southern Denmark
Billund,2018,26553.0,Southern Denmark
Billund,2019,26660.5,Southern Denmark
Billund,2020,26570.75,Southern Denmark
Billund,2021,26549.0,Southern Denmark
Billund,2022,26826.5,Southern Denmark
Billund,2023,27063.5,Southern Denmark
Billund,2024,27145.75,Southern Denmark
Bornholm,2008,42824.5,Capital Region
Bornholm,2009,42531.5,Capital Region
Bornholm,2010,42135.5,Capital Region
Bornholm,2011,41690.0,Capital Region
Bornholm,2012,41197.75,Capital Region
Bornholm,2013,40654.25,Capital Region
Bornholm,2014,40174.5,Capital Region
Bornholm,2015,39883.0,Capital Region
Bornholm,2016,39800.25,Capital Region
Bornholm,2017,39759.25,Capital Region
Bornholm,2018,39719.75,Capital Region
Bornholm,2019,39701.25,Capital Region
Bornholm,2020,39575.0,Capital Region
Bornholm,2021,39733.5,Capital Region
Bornholm,2022,39765.75,Capital Region
Bornholm,2023,39646.0,Capital Region
Bornholm,2024,39328.75,Capital Region
Brøndby,2008,33752.0,Capital Region
Brøndby,2009,33808.0,Capital Region
Brøndby,2010,33855.75,Capital Region
