year,population,Region
2008,1651460.5,Capital Region
2009,1668737.0,Capital Region
2010,1687454.25,Capital Region
2011,1704860.5,Capital Region
2012,1720777.75,Capital Region
2013,1738018.5,Capital Region
2014,1756531.5,Capital Region
2015,1775746.25,Capital Region
2016,1796030.75,Capital Region
2017,1813239.5,Capital Region
2018,1827539.5,Capital Region
2019,1841141.5,Capital Region
2020,1848688.75,Capital Region
2021,1858754.0,Capital Region
2022,1877300.5,Capital Region
2023,1900174.5,Capital Region
2024,1919028.25,Capital Region
2008,1240413.75,Central Jutland
2009,1250066.25,Central Jutland
2010,1256237.5,Central Jutland
2011,1262853.25,Central Jutland
2012,1268534.75,Central Jutland
2013,1273964.25,Central Jutland
2014,1279523.75,Central Jutland
2015,1286487.25,Central Jutland
2016,1297382.0,Central Jutland
2017,1307923.25,Central Jutland
2018,1316358.0,Central Jutland
2019,1323129.5,Central Jutland
2020,1327957.5,Central Jutland
2021,1335175.75,Central Jutland
2022,1349179.75,Central Jutland
2023,1361139.75,Central Jutland
2024,1368131.75,Central Jutland
2008,579495.0,North Jutland
2009,579963.25,North Jutland
2010,579453.5,North Jutland
2011,579933.25,North Jutland
2012,579799.0,North Jutland
2013,580217.75,North Jutland
2014,581481.25,North Jutland
2015,583421.25,North Jutland
2016,586198.25,North Jutland
2017,587838.5,North Jutland
2018,589203.0,North Jutland
2019,589917.75,North Jutland
2020,590056.0,North Jutland
2021,590722.0,North Jutland
2022,593186.5,North Jutland
2023,594243.5,North Jutland
2024,592965.75,North Jutland
2008,820258.75,Zealand Region
2009,820969.5,Zealand Region
2010,820416.0,Zealand Region
2011,819094.25,Zealand Region
2012,817418.5,Zealand Region
2013,816440.0,Zealand Region
2014,818068.25,Zealand Region
2015,822984.5,Zealand Region
2016,829636.5,Zealand Region
2017,833498.25,Zealand Region
2018,835801.0,Zealand Region
2019,836964.25,Zealand Region
2020,837636.75,Zealand Region
2021,840704.75,Zealand Region
2022,846588.75,Zealand Region
2023,850802.25,Zealand Region
2024,853605.25,Zealand Region
2008,1196640.5,Southern Denmark
2009,1199941.5,Southern Denmark
2010,1200565.5,Southern Denmark
2011,1200985.5,Southern Denmark
2012,1201476.0,Southern Denmark
2013,1201546.75,Southern Denmark
2014,1203680.5,Southern Denmark
2015,1207867.25,Southern Denmark
2016,1214314.25,Southern Denmark
2017,1218551.25,Southern Denmark
2018,1221855.0,Southern Denmark
2019,1223701.5,Southern Denmark
2020,1223203.5,Southern Denmark
2021,1224891.75,Southern Denmark
2022,1232725.25,Southern Denmark
2023,1238052.75,Southern Denmark
2024,1239138.5,Southern Denmark
