Country Name,Country Code,Year,Import_Dependency_Pct
Africa Eastern and Southern,AFE,1990,-21.4
Africa Western and Central,AFW,1990,-214.7
Albania,ALB,1990,6.4
Algeria,DZA,1990,-348.6
Angola,AGO,1990,-381.7
Arab World,ARB,1990,-348.3
Argentina,ARG,1990,-4.1
Armenia,ARM,1990,100.7
Australia,AUS,1990,-74.9
Austria,AUT,1990,69.8
Azerbaijan,AZE,1990,12.2
Bahrain,BHR,1990,-154.7
Bangladesh,BGD,1990,16.9
Belarus,BLR,1990,92.7
Belgium,BEL,1990,83.0
Benin,BEN,1990,-5.5
Bolivia,BOL,1990,-91.6
Brazil,BRA,1990,27.9
Brunei Darussalam,BRN,1990,-799.9
Bulgaria,BGR,1990,64.1
Cameroon,CMR,1990,-122.1
Canada,CAN,1990,-28.0
Caribbean small states,CSS,1990,-106.6
Central Europe and the Baltics,CEB,1990,31.8
Chile,CHL,1990,50.1
China,CHN,1990,-4.0
Colombia,COL,1990,-89.3
"Congo, Dem. Rep.",COD,1990,-0.8
"Congo, Rep.",COG,1990,-1002.1
Costa Rica,CRI,1990,62.0
Cote d'Ivoire,CIV,1990,25.1
Croatia,HRV,1990,41.0
Curacao,CUW,1990,215.1
Czechia,CZE,1990,15.3
Denmark,DNK,1990,49.8
Early-demographic dividend,EAR,1990,-71.4
East Asia & Pacific,EAS,1990,19.5
East Asia & Pacific (IDA & IBRD countries),TEA,1990,-9.3
East Asia & Pacific (excluding high income),EAP,1990,-8.6
Ecuador,ECU,1990,-159.3
"Egypt, Arab Rep.",EGY,1990,-61.8
El Salvador,SLV,1990,32.1
Estonia,EST,1990,42.0
Ethiopia,ETH,1990,5.7
Euro area,EMU,1990,59.4
Europe & Central Asia,ECS,1990,13.7
Europe & Central Asia (IDA & IBRD countries),TEC,1990,-11.6
Europe & Central Asia (excluding high income),ECA,1990,30.2
European Union,EUU,1990,51.7
Finland,FIN,1990,62.8
Fragile and conflict affected situations,FCS,1990,-56.8
France,FRA,1990,53.3
Gabon,GAB,1990,-1029.2
Georgia,GEO,1990,85.1
Germany,DEU,1990,47.6
Ghana,GHA,1990,18.3
Greece,GRC,1990,71.5
Guatemala,GTM,1990,26.3
Heavily indebted poor countries (HIPC),HPC,1990,-9.8
High income,HIC,1990,9.3
Honduras,HND,1990,29.6
"Hong Kong SAR, China",HKG,1990,127.3
Hungary,HUN,1990,49.2
IBRD only,IBD,1990,-23.6
IDA & IBRD total,IBT,1990,-23.6
IDA blend,IDB,1990,-47.9
IDA only,IDX,1990,1.1
IDA total,IDA,1990,-24.4
India,IND,1990,11.3
Indonesia,IDN,1990,-81.5
"Iran, Islamic Rep.",IRN,1990,-169.7
Iraq,IRQ,1990,-448.2
Ireland,IRL,1990,71.1
Israel,ISR,1990,99.5
Italy,ITA,1990,86.8
Jamaica,JAM,1990,96.0
Japan,JPN,1990,86.1
Kazakhstan,KAZ,1990,-22.6
Kenya,KEN,1990,20.8
"Korea, Dem. People's Rep.",PRK,1990,13.0
"Korea, Rep.",KOR,1990,76.6
Kuwait,KWT,1990,-457.4
Kyrgyz Republic,KGZ,1990,67.8
Late-demographic dividend,LTE,1990,-21.0
Latin America & Caribbean,LCN,1990,-36.0
Latin America & Caribbean (excluding high income),LAC,1990,-17.1
Latin America & the Caribbean (IDA & IBRD countries),TLA,1990,-36.8
Latvia,LVA,1990,94.6
Least developed countries: UN classification,LDC,1990,-21.2
Libya,LBY,1990,-551.6
Lithuania,LTU,1990,72.4
Low & middle income,LMY,1990,-16.5
Low income,LIC,1990,-15.3
Lower middle income,LMC,1990,-8.6
Luxembourg,LUX,1990,103.4
Madagascar,MDG,1990,12.5
Malaysia,MYS,1990,-122.0
Mexico,MEX,1990,-56.2
"Middle East, North Africa, Afghanistan & Pakistan",MEA,1990,-250.0
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,1990,-164.4
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,1990,-164.4
Middle income,MIC,1990,-16.5
Moldova,MDA,1990,100.0
Mongolia,MNG,1990,20.5
Morocco,MAR,1990,85.3
Mozambique,MOZ,1990,6.3
Myanmar,MMR,1990,0.1
Nepal,NPL,1990,5.3
Netherlands,NLD,1990,27.7
New Zealand,NZL,1990,16.3
Nicaragua,NIC,1990,31.7
Nigeria,NGA,1990,-284.4
North America,NAC,1990,13.3
North Macedonia,MKD,1990,48.9
Norway,NOR,1990,-454.2
OECD members,OED,1990,27.3
Oman,OMN,1990,-798.3
Pakistan,PAK,1990,21.5
Panama,PAN,1990,166.5
Paraguay,PRY,1990,-48.1
Peru,PER,1990,-5.8
Philippines,PHL,1990,41.9
Poland,POL,1990,0.8
Portugal,PRT,1990,88.9
Post-demographic dividend,PST,1990,32.4
Pre-demographic dividend,PRE,1990,-167.9
Qatar,QAT,1990,-314.3
Romania,ROU,1990,35.5
Russian Federation,RUS,1990,-46.9
Rwanda,RWA,1990,2.9
Saudi Arabia,SAU,1990,-529.3
Senegal,SEN,1990,50.2
Serbia,SRB,1990,31.2
Singapore,SGP,1990,212.7
Slovak Republic,SVK,1990,77.0
Slovenia,SVN,1990,45.9
Small states,SST,1990,-85.3
South Africa,ZAF,1990,-24.8
South Asia,SAS,1990,11.8
South Asia (IDA & IBRD),TSA,1990,11.8
Spain,ESP,1990,67.0
Sri Lanka,LKA,1990,30.9
Sub-Saharan Africa,SSF,1990,-62.1
Sub-Saharan Africa (IDA & IBRD countries),TSS,1990,-62.1
Sub-Saharan Africa (excluding high income),SSA,1990,-67.7
Sweden,SWE,1990,38.9
Switzerland,CHE,1990,61.7
Syrian Arab Republic,SYR,1990,-106.4
Tajikistan,TJK,1990,62.1
Tanzania,TZA,1990,9.9
Thailand,THA,1990,42.1
Trinidad and Tobago,TTO,1990,-106.6
Tunisia,TUN,1990,-17.5
Turkiye,TUR,1990,54.0
Turkmenistan,TKM,1990,-316.4
Uganda,UGA,1990,3.6
Ukraine,UKR,1990,48.0
United Arab Emirates,ARE,1990,-395.2
United Kingdom,GBR,1990,2.3
United States,USA,1990,17.9
Upper middle income,UMC,1990,-18.7
Uruguay,URY,1990,52.3
Uzbekistan,UZB,1990,18.4
