"Income by income interval, family type, unit, region and time"

" "," "," "," ","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Total"
" ","Families, total"
" "," ","Average income for families in the group (DKK)"
" "," "," ","All Denmark",211473,222769,231853,239291,246793,253319,257114,272936,283884,292964,303949,316419,326943,341638,355342,364284,370786,382083,397088,416482,435244,439148,433600,451800,457097,466144,473878,480979,494958,500550,512419,521281,539914,563030,589233,590684,628117,658726
" "," "," ","Copenhagen",164127,173587,179710,185431,190913,194854,197016,211612,217990,225108,232497,244656,255425,268402,280508,290160,295381,302709,313568,331610,347196,359322,360176,371937,380670,389223,397720,408457,423330,434055,446102,459997,479521,501745,532357,537084,574447,613808
" "," "," ","Frederiksberg",199305,210353,219972,228944,235289,240580,247330,261434,272812,281975,293278,308126,324134,340397,355387,359522,362804,374830,387168,411782,425383,430811,430708,452898,458034,471693,486731,500347,517809,529192,549148,567083,593923,622570,658821,651156,697885,738163
" "," "," ","Dragør",315679,328230,340282,349318,359546,364997,369457,374367,389587,408735,420188,436488,458595,468236,491039,495878,504258,520395,532409,556554,574773,581146,583819,610301,644645,641871,651647,662342,691381,695176,711121,728628,757370,779334,815501,823921,883599,927857
" "," "," ","Tårnby",246533,259541,268744,275726,282019,287231,287346,298240,305737,315420,322313,333605,345634,359375,372083,381108,388762,399663,410893,425750,442579,458577,458611,471392,480013,485022,492171,500023,510507,517312,528212,540538,554577,582136,601812,608764,643461,682412
" "," "," ","Albertslund",245218,256971,262072,267461,273162,277037,278736,291055,297865,304005,310340,322330,334955,344182,354670,364259,367372,374218,379386,396015,410202,422200,417076,425956,423231,431614,430293,437694,444681,452111,455591,465264,470843,491323,512529,515452,547153,568130
" "," "," ","Ballerup",260457,270612,276466,281695,284491,288750,291388,304686,313269,318865,328613,343843,355735,371012,380411,392618,395549,404742,414160,428168,447071,456425,453264,467075,472118,479314,485088,505468,514762,521002,528565,537875,553037,573518,594919,594261,626493,659667
" "," "," ","Brøndby",239024,251332,258860,264920,269171,273205,271056,283241,290002,294166,301741,313739,321546,336436,348396,357223,361941,368745,380002,391682,407350,419761,414889,423194,426932,429393,431496,433238,439492,446869,451536,463293,469993,490279,506095,507978,535191,556690
" "," "," ","Gentofte",304718,320042,331565,340443,351201,358420,364695,389590,405671,425613,448738,474864,491819,537515,565424,562158,571153,595312,662830,710942,738758,704574,685159,763770,779980,808500,828380,858596,989779,937904,940866,963037,1075387,1066451,1217340,1217829,1456635,1388550
" "," "," ","Gladsaxe",225224,237579,243482,250359,257180,261519,264140,278467,289467,298836,309588,322520,334086,349064,365482,376779,382186,393321,408527,424057,444950,458018,457983,478256,483527,490196,499491,509105,521904,526977,538420,544995,566785,600353,623295,625856,670530,705938
" "," "," ","Glostrup",228715,241176,249237,254735,263031,267877,266754,281741,289040,295568,303028,314241,326446,343670,356537,365302,371887,382145,394891,407951,426216,439331,435569,450296,454208,458245,465000,467313,478479,484923,494613,504116,517293,542624,564224,564924,594245,621484
" "," "," ","Herlev",246230,256858,261843,266360,271784,274196,276075,288422,296592,304600,312044,321320,332839,346625,358577,370864,377559,385029,395310,411601,431505,446391,446290,459983,465588,474072,484642,484490,496750,504787,509993,525580,538175,573216,585536,582016,617617,658354
" "," "," ","Hvidovre",225838,236412,243757,250365,255251,259602,261958,274835,282773,290645,299094,312412,321763,333102,346876,357304,363754,373754,385535,399239,420200,434534,433573,448070,450247,458802,464218,472321,481503,488391,497394,510325,526886,549184,573410,579055,613560,649180
" "," "," ","Høje-Taastrup",256209,267602,277495,282906,288945,292988,293566,307567,317251,325825,336663,347405,357714,370373,386180,393692,397678,404174,419438,430408,450289,463440,461582,466678,470676,473603,475554,480050,485301,491160,501598,504991,520949,537159,558166,554695,584527,615204
" "," "," ","Ishøj",245749,257379,261398,268374,273800,276662,275467,289014,296743,304727,313105,325272,335428,345815,358903,368795,374039,379083,389839,401471,417036,425189,420064,430168,430562,436232,437710,438297,445138,449141,455419,461650,470512,490104,509072,512504,541280,562746
" "," "," ","Lyngby-Taarbæk",258922,271590,281318,292308,296018,304753,310983,323722,333548,348682,367448,379599,399754,427009,440475,447966,452019,466768,491744,511486,546244,545038,532020,583490,587766,606092,626057,661526,727948,687076,691925,711285,746506,766250,835702,826368,938511,940171
" "," "," ","Rødovre",226560,238314,244006,249866,255532,259862,260135,273867,280588,286434,295004,306027,314551,327797,341139,347913,354902,362185,376092,389853,411114,429956,422446,433561,437638,444687,451640,459859,475508,484995,494720,504845,518454,546001,568916,570639,603386,633928
" "," "," ","Vallensbæk",327843,344648,355885,362595,369066,375889,376551,387037,398291,403882,418849,428180,444758,460292,475034,483418,491047,494532,504637,521920,543172,549898,543293,561209,560401,570630,575522,593699,597230,593484,594468,600905,612224,647728,671587,660072,695341,726047
" "," "," ","Allerød",319972,339063,348201,366110,377546,383839,386639,401483,414122,425401,448575,465535,484050,511188,532761,535063,555053,570808,600889,614698,649871,647048,646949,687008,696582,703232,701775,714134,735809,738133,749033,756468,791116,807662,845393,849353,892893,952637
" "," "," ","Egedal",324876,340990,347885,357740,365504,371414,371064,386050,401458,411503,425797,444266,461664,479895,504255,509877,515263,527018,546853,568560,590273,599553,589864,617681,616466,626029,636745,639646,657010,657601,673040,684383,690095,719660,758989,735029,784793,822303
" "," "," ","Fredensborg",278753,295144,304373,313805,320379,326003,327508,345190,360108,375947,419517,405730,426933,451997,463811,477553,480791,492071,514229,533527,563161,562123,549994,581443,587932,598574,612626,621364,648532,649915,653866,667596,693855,708215,757919,723448,778091,837500
" "," "," ","Frederikssund",251725,262868,270624,278604,285112,289380,292613,306988,320937,330468,346304,351774,369968,384201,404237,414123,420124,432860,449234,469434,492342,493420,488960,498246,502439,508714,516137,521063,532934,539822,546881,557948,569255,596362,615115,622100,649746,673867
" "," "," ","Furesø",314545,329783,342204,349701,360204,368866,363316,384574,400512,409805,429400,449540,460071,492614,510551,514017,522774,533404,552625,578619,601833,608317,603194,644721,641668,663714,672793,690466,695911,707919,726186,736337,764560,781715,823127,818901,886248,931455
" "," "," ","Gribskov",251054,261900,267074,275559,278818,282783,286095,302026,312220,320275,333073,348139,361728,375888,394126,402772,411111,421998,443308,463068,490421,486192,475495,493402,496966,511824,510519,522725,528010,533622,541990,546483,560391,593329,614039,615440,647685,680837
" "," "," ","Halsnæs",225891,235778,241214,248825,253223,257833,257984,271796,283301,292529,302217,313639,326729,340154,352383,363433,367562,380582,396509,412680,429117,437009,431473,441087,446917,455024,463271,467849,476872,482471,495177,504033,511837,536778,552465,549912,579420,607107
" "," "," ","Helsingør",228325,240652,249051,255789,261204,267009,269862,284590,296595,307401,317958,335151,351119,370430,379878,420888,401917,412136,431607,447306,481199,474741,466384,488266,492201,503327,518779,525987,541236,546166,556652,567284,590106,619791,651640,638657,681922,723300
" "," "," ","Hillerød",258054,271473,279485,286729,294188,300255,305071,323482,333732,344659,360518,376582,393020,411189,428458,443429,445493,457865,481045,497009,519076,525248,521524,546021,549333,562172,564819,572173,600940,600124,606458,613460,632360,658020,682029,683984,717005,761910
" "," "," ","Hørsholm",360387,370279,368599,396612,390605,399401,425847,422561,467367,468674,504309,528402,556181,602115,605633,607348,599854,626264,662484,709111,765871,702622,671554,773354,760095,775452,798135,810074,849837,852296,897817,871984,924926,994992,1015203,989355,1043650,1121976
" "," "," ","Rudersdal",332953,353476,364772,382673,387682,403133,403914,397752,433481,453811,474979,508319,530005,585135,593023,605676,604274,632616,668666,717074,735085,702313,667228,765016,764575,803949,839956,877067,906625,937396,947387,952508,1047723,1061290,1148365,1087399,1199912,1353298
" "," "," ","Bornholm",186952,195479,205725,213252,224256,226526,230927,247366,254309,260372,267367,275994,283901,295347,306986,314562,321344,331986,342661,357120,366421,374285,373225,391795,396229,403372,405149,410239,416263,425129,437225,439675,457340,469089,483994,485259,507911,534882
" "," "," ","Greve",305306,318541,325519,335302,341167,346576,349111,361283,372420,382640,397643,414224,427125,444695,458523,467681,470879,481063,498328,513958,547238,546550,533041,551891,557587,566036,574410,579695,587451,593051,604491,610193,620508,647957,670887,667023,713245,739245
" "," "," ","Køge",240501,251875,262799,269685,277260,281975,284890,300542,311957,322169,334723,348313,361691,378915,391243,401775,409245,421701,435446,452348,473122,478497,471988,485709,493157,500991,505079,514544,521739,528509,540716,552714,567883,599412,614009,615175,651103,685075
" "," "," ","Lejre",272901,288400,299984,309300,316963,327042,333155,345420,360194,374025,385152,397894,412345,434513,451928,460617,469727,480596,499196,520303,537845,542966,536695,563550,565623,572806,583438,584548,597279,607195,622515,634884,643883,666281,692841,694613,722139,757755
" "," "," ","Roskilde",246432,258349,266063,274503,282087,288390,293083,308109,321289,330605,344112,360648,374291,391453,408408,418269,424227,436215,451881,473034,494541,499986,496689,514680,518225,529768,534505,547476,560417,569742,584067,598387,621214,649798,678808,678611,728456,771959
" "," "," ","Solrød",303732,315867,328467,338202,348870,349571,367563,372755,384797,398279,411799,430606,447097,471007,490118,501405,509198,517118,537262,557260,594013,585061,561748,589147,598272,612661,610852,635977,654810,671734,678069,686873,728767,752486,779411,760956,811064,846867
" "," "," ","Faxe",216306,228494,239701,248165,252303,259406,262205,279109,291746,302217,314041,329878,339035,350912,366829,377495,384834,393941,409899,428661,453748,454436,446501,461202,464773,476047,474331,480083,485140,491612,500488,509218,522562,548052,561422,566423,589716,610918
" "," "," ","Guldborgsund",186949,198128,208318,216629,221965,227103,230766,245560,254330,263621,271055,280705,288966,300768,313059,320711,327293,336288,348631,366902,377474,382814,380789,396049,390557,403573,411519,414262,420991,425487,431458,437631,450649,475004,496449,496790,518366,542948
" "," "," ","Holbæk",215868,228215,237098,244012,250796,257634,260729,279256,289814,297946,307636,320741,334209,347504,362099,374725,383380,394652,411525,428272,446881,449647,447801,462213,464832,475878,484009,489571,502265,505257,516132,524001,539329,563528,590139,591191,622721,650394
" "," "," ","Kalundborg",205967,216050,225947,234636,243393,251977,256989,273564,283832,290128,301144,312122,319997,334976,349523,358617,364558,376650,389293,408316,426741,420638,420983,435344,438892,446652,453774,459795,474618,480018,483305,490340,502974,522005,543853,551073,592329,624116
" "," "," ","Lolland",180586,191148,201019,208672,215387,220081,223010,237926,244443,251182,258161,267299,271465,281817,293952,304283,310271,319599,330378,342254,351035,359890,360886,371773,375723,382404,391323,397022,397701,400073,406148,409809,421743,438710,460612,464538,484549,510777
" "," "," ","Næstved",208271,221922,230439,236070,243372,248516,252480,268806,279533,288219,297538,310161,320227,333684,348560,358262,365699,376792,390207,406054,427149,425988,424468,437125,443119,451466,456263,459808,466697,472010,483324,489756,505180,530247,551318,548285,575120,603531
" "," "," ","Odsherred",200769,210119,218971,226686,234528,239627,244049,259453,267579,276245,284811,293433,303614,315080,326023,337357,346506,355321,367412,382475,402683,396613,392917,403885,408299,415969,421710,427239,431731,435043,445050,450658,462244,482988,501875,503082,526083,550563
" "," "," ","Ringsted",222438,234479,243180,252086,257096,260780,262553,281205,297007,303705,313823,327209,344358,355981,369022,377428,387126,401888,417708,438591,457859,463585,454999,470099,474839,483224,488411,492688,499631,507056,520333,525236,540541,566776,588187,588749,612914,646886
" "," "," ","Slagelse",201088,212694,223290,233188,238629,243957,249449,262819,272220,277556,286625,297162,305763,318624,330991,342579,349145,359353,370573,386343,409537,409027,408303,418378,421690,427883,436430,436484,442965,449906,459419,468763,479797,497010,522345,529377,546835,578321
" "," "," ","Sorø",203651,217473,233199,234392,242392,248286,253453,271092,284632,296179,303031,317692,332051,348122,363992,372326,379416,393787,410720,428678,445732,443727,449700,459422,468165,478092,487288,492265,504189,505989,519485,525056,545986,563443,589644,590300,618816,653978
" "," "," ","Stevns",227036,240027,249376,258056,265445,272110,277700,293030,305842,316629,325836,338911,353167,370363,383095,392346,398884,409968,428299,443647,462706,473648,457808,471571,479268,485281,491253,496624,502354,508605,516201,531397,549477,568930,591287,596694,623911,655581
" "," "," ","Vordingborg",193725,204702,213287,219405,225611,231609,236783,252396,259967,267210,277752,289509,299712,315074,326095,334448,342713,350087,365189,380657,395042,392161,390298,405061,410111,418039,426318,430227,437130,437965,446495,456488,466481,493462,510491,521410,532922,563793
" "," "," ","Assens",201226,213668,223466,231052,240643,247976,250958,270702,281647,290095,302656,316341,323214,338732,350938,360953,371505,382229,395210,417153,433267,434342,433590,446725,452945,459860,464083,467163,476529,482531,495122,500384,518542,536151,557343,557582,583385,606733
" "," "," ","Faaborg-Midtfyn",201245,215024,223769,232381,242265,251071,253004,270841,281636,289447,300829,313002,319129,333291,344747,352598,361917,373368,383991,405666,420327,427276,421829,436587,441545,451138,454164,459879,468672,467437,482832,493283,505380,528374,545649,554228,577654,603748
" "," "," ","Kerteminde",213313,228086,241816,251528,260580,268152,269243,290194,300183,308396,319744,333471,341288,350887,363468,376057,379563,395204,410011,424859,446907,445769,443461,457263,463606,464323,471765,483973,492843,502307,509300,515930,532198,548551,580267,581243,612154,633796
" "," "," ","Langeland",174620,181071,189766,198769,204729,211143,215715,230818,240561,249038,254181,262947,266668,279937,287883,296274,300560,311412,321625,343108,355157,364140,359853,370573,371289,379958,384360,390782,391624,398264,404519,404671,425568,449100,450071,459718,481586,495321
" "," "," ","Middelfart",207917,220469,228861,239994,248563,256134,261762,279330,293386,303409,315028,331189,341152,357325,371038,382921,390294,399723,415843,436674,457007,468536,461344,480585,482950,497950,501914,508533,528839,530442,551744,558075,589298,615481,630992,644004,671626,700083
" "," "," ","Nordfyns",201337,213330,223596,233295,243419,249545,252670,270800,282752,290125,301960,315754,319739,336641,350625,360157,362579,377459,391703,414947,427561,430314,422791,442183,451545,457086,466459,468768,475080,478984,491976,503433,513935,532102,548921,558571,580264,603870
" "," "," ","Nyborg",199811,214199,224246,234370,242970,250574,251486,266101,277287,285322,294372,306029,309586,322803,334357,343576,355826,365582,376342,398455,410346,422280,423567,435027,439011,445575,450423,456300,460404,465647,473558,488390,500012,524291,544977,545861,576620,593076
" "," "," ","Odense",195528,205658,213151,218759,224755,230128,234095,248367,256134,263324,273009,285277,291573,302681,314472,323511,331393,339928,351465,366744,381931,387773,387915,401381,404157,405125,412271,416911,426930,429607,437128,445762,457119,476019,498882,501183,529892,558807
