Municipality,Region,year,income
Aabenraa,Southern Denmark,2008,276912.6666666667
Aalborg,North Jutland,2008,270192.3333333333
Aarhus,Central Jutland,2008,278596.3333333333
Albertslund,Capital Region,2008,284430.3333333333
Allerød,Capital Region,2008,381026.6666666667
Assens,Southern Denmark,2008,270943.0
Ballerup,Capital Region,2008,301914.6666666667
Billund,Southern Denmark,2008,288630.3333333333
Bornholm,Capital Region,2008,254110.66666666666
Brøndby,Capital Region,2008,282249.0
Brønderslev,North Jutland,2008,255727.33333333334
Copenhagen,Capital Region,2008,259291.33333333334
Dragør,Capital Region,2008,369803.0
Egedal,Capital Region,2008,357788.3333333333
Esbjerg,Southern Denmark,2008,284711.0
Faaborg-Midtfyn,Southern Denmark,2008,272463.3333333333
Fanø,Southern Denmark,2008,309466.6666666667
Favrskov,Central Jutland,2008,304961.3333333333
Faxe,Zealand Region,2008,289195.0
Fredensborg,Capital Region,2008,354032.0
Fredericia,Southern Denmark,2008,284529.0
Frederiksberg,Capital Region,2008,300337.6666666667
Frederikshavn,North Jutland,2008,269032.6666666667
Frederikssund,Capital Region,2008,314123.0
Furesø,Capital Region,2008,375850.0
Gentofte,Capital Region,2008,453256.0
Gladsaxe,Capital Region,2008,311599.3333333333
Glostrup,Capital Region,2008,297435.0
Greve,Zealand Region,2008,344906.0
Gribskov,Capital Region,2008,320581.6666666667
Guldborgsund,Zealand Region,2008,260288.66666666666
Haderslev,Southern Denmark,2008,271780.0
Halsnæs,Capital Region,2008,292179.6666666667
Hedensted,Central Jutland,2008,297722.0
Helsingør,Capital Region,2008,314940.3333333333
Herlev,Capital Region,2008,302558.0
Herning,Central Jutland,2008,284710.6666666667
Hillerød,Capital Region,2008,334218.6666666667
Hjørring,North Jutland,2008,266425.6666666667
Holbæk,Zealand Region,2008,290631.0
Holstebro,Central Jutland,2008,283184.6666666667
Horsens,Central Jutland,2008,276558.0
Hvidovre,Capital Region,2008,293764.3333333333
Høje-Taastrup,Capital Region,2008,303906.6666666667
Hørsholm,Capital Region,2008,430324.3333333333
Ikast-Brande,Central Jutland,2008,281988.3333333333
Ishøj,Capital Region,2008,284138.3333333333
Jammerbugt,North Jutland,2008,268493.6666666667
Kalundborg,Zealand Region,2008,271766.0
Kerteminde,Southern Denmark,2008,281182.6666666667
Kolding,Southern Denmark,2008,293238.6666666667
Køge,Zealand Region,2008,308532.0
Langeland,Southern Denmark,2008,244663.33333333334
Lejre,Zealand Region,2008,334285.6666666667
Lemvig,Central Jutland,2008,277657.0
Lolland,Zealand Region,2008,243941.33333333334
Lyngby-Taarbæk,Capital Region,2008,368872.3333333333
Læsø,North Jutland,2008,240512.33333333334
Mariagerfjord,North Jutland,2008,274191.0
Middelfart,Southern Denmark,2008,293550.6666666667
Morsø,North Jutland,2008,257515.66666666666
Norddjurs,Central Jutland,2008,266009.0
Nordfyns,Southern Denmark,2008,267450.6666666667
Nyborg,Southern Denmark,2008,273885.6666666667
Næstved,Zealand Region,2008,279390.0
Odder,Central Jutland,2008,297978.3333333333
Odense,Southern Denmark,2008,267845.3333333333
Odsherred,Zealand Region,2008,263726.6666666667
Randers,Central Jutland,2008,272017.3333333333
Rebild,North Jutland,2008,286149.3333333333
Ringkøbing-Skjern,Central Jutland,2008,283144.3333333333
Ringsted,Zealand Region,2008,296941.0
Roskilde,Zealand Region,2008,326286.6666666667
Rudersdal,Capital Region,2008,442003.0
Rødovre,Capital Region,2008,293814.0
Samsø,Central Jutland,2008,250194.66666666666
