Region,year,income
Capital Region,2008,328484.8850574712
Central Jutland,2008,284511.91228070174
North Jutland,2008,265500.5151515152
Southern Denmark,2008,277561.42424242425
Zealand Region,2008,293375.2549019608
Capital Region,2009,328673.4942528736
Central Jutland,2009,291900.5789473684
North Jutland,2009,273581.36363636365
Southern Denmark,2009,283948.393939394
Zealand Region,2009,297172.17647058825
Capital Region,2010,364020.459770115
Central Jutland,2010,315910.5263157895
North Jutland,2010,295504.9393939394
Southern Denmark,2010,307543.30303030304
Zealand Region,2010,322435.7254901961
Capital Region,2011,373740.3563218391
Central Jutland,2011,323320.22807017545
North Jutland,2011,305154.8787878788
Southern Denmark,2011,311927.8333333333
Zealand Region,2011,327398.7254901961
Capital Region,2012,383552.57471264363
Central Jutland,2012,332203.4736842105
North Jutland,2012,313841.8181818182
Southern Denmark,2012,319834.0
Zealand Region,2012,336240.8431372549
Capital Region,2013,394818.3793103448
Central Jutland,2013,341752.70175438595
North Jutland,2013,321735.87878787884
Southern Denmark,2013,327109.07575757575
Zealand Region,2013,345173.6274509804
Capital Region,2014,406139.42528735637
Central Jutland,2014,345041.8070175438
North Jutland,2014,324815.63636363635
Southern Denmark,2014,332673.36363636365
Zealand Region,2014,352787.64705882355
Capital Region,2015,419244.7816091954
Central Jutland,2015,354335.9298245614
North Jutland,2015,330094.57575757575
Southern Denmark,2015,339048.8181818182
Zealand Region,2015,359787.5294117647
Capital Region,2016,424271.7931034483
Central Jutland,2016,359506.94736842107
North Jutland,2016,335999.51515151514
Southern Denmark,2016,343081.6666666667
Zealand Region,2016,364436.4117647059
Capital Region,2017,434263.4367816092
Central Jutland,2017,370356.9824561404
North Jutland,2017,346584.24242424243
Southern Denmark,2017,354374.5
Zealand Region,2017,373845.3333333334
Capital Region,2018,443632.459770115
Central Jutland,2018,377948.2807017544
North Jutland,2018,352099.63636363635
Southern Denmark,2018,361189.7272727273
Zealand Region,2018,382378.96078431373
Capital Region,2019,459304.6551724138
Central Jutland,2019,391455.59649122803
North Jutland,2019,365701.24242424243
Southern Denmark,2019,373257.78787878784
Zealand Region,2019,394327.17647058825
Capital Region,2020,478243.3448275862
Central Jutland,2020,411184.4561403509
North Jutland,2020,381149.0606060606
Southern Denmark,2020,389060.2727272727
Zealand Region,2020,411127.8039215687
Capital Region,2021,504608.7126436781
Central Jutland,2021,427748.29824561405
North Jutland,2021,399551.45454545453
Southern Denmark,2021,406256.6060606061
Zealand Region,2021,429899.6274509804
Capital Region,2022,499977.7586206897
Central Jutland,2022,429287.649122807
North Jutland,2022,402515.0303030303
Southern Denmark,2022,409465.803030303
Zealand Region,2022,431623.35294117645
Capital Region,2023,528528.988505747
Central Jutland,2023,440271.36842105264
North Jutland,2023,413170.2727272727
Southern Denmark,2023,440022.15151515155
Zealand Region,2023,447318.4705882353
Capital Region,2024,544400.3908045978
Central Jutland,2024,450363.03508771927
North Jutland,2024,423701.8181818182
Southern Denmark,2024,439748.6060606061
Zealand Region,2024,458730.39215686277
